活动类型,日期,我的最爱,标题,距离,热量消耗,时间,平均心率,最大心率,平均踏频,最大踏频,平均配速,最佳配速,平均步长,平均垂直比,平均垂直摆动,平均触地时间,Training Stress Score®,平均功率,最大功率,Grit,Flow,平均 Swolf,平均划桨率,总次数,潜水时长,最低温度,水面休息时间,减压,最佳单圈时间,圈数,最高温度,移动时间,全程用时,最低海拔,最高海拔
步行,2023-04-14 07:21:32,false,"步行","0.79","78","00:14:06","108","122","73","231","17:58","3:50","0.76","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","22.0","0:00","否","14:05.98","1","24.0","00:07:44","00:14:06","--","--"
步行,2023-04-12 20:05:45,false,"步行","5.62","301","01:03:38","109","121","108","228","11:19","3:28","0.82","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","22.0","0:00","否","01:03:38.09","1","26.0","01:02:01","01:03:38","--","--"
步行,2023-04-12 18:06:17,false,"步行","0.95","71","00:13:32","92","104","88","130","14:13","7:38","0.80","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","23.0","0:00","否","13:32.06","1","25.0","00:09:42","00:13:32","--","--"
步行,2023-04-12 12:38:59,false,"步行","0.74","86","00:15:28","115","133","77","220","20:50","3:55","0.63","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","28.0","0:00","否","15:28.38","1","30.0","00:09:40","00:15:28","--","--"
步行,2023-04-10 18:37:03,false,"步行","0.78","78","00:14:02","110","125","79","244","18:01","4:41","0.70","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","26.0","0:00","否","14:01.73","1","29.0","00:08:46","00:14:02","--","--"
步行,2023-04-09 20:35:52,false,"步行","1.22","101","00:17:20","117","130","93","152","14:15","8:17","0.75","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","25.0","0:00","否","17:20.17","1","27.0","00:12:36","00:17:20","--","--"
步行,2023-04-09 17:51:02,false,"步行","0.98","78","00:15:43","95","108","81","236","16:03","8:16","0.77","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","26.0","0:00","否","15:42.98","1","26.0","00:09:45","00:15:43","--","--"
步行,2023-04-09 12:38:11,false,"步行","1.40","91","00:18:51","108","123","92","127","13:26","7:28","0.81","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","25.0","0:00","否","18:50.89","1","29.0","00:14:54","00:18:51","--","--"
步行,2023-04-09 08:35:41,false,"步行","0.99","81","00:13:43","114","127","92","200","13:53","6:21","0.78","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","22.0","0:00","否","13:43.23","1","26.0","00:09:57","00:13:43","--","--"
步行,2023-04-07 18:58:50,false,"步行","0.93","81","00:15:19","115","130","78","238","16:26","4:44","0.78","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","25.0","0:00","否","15:18.62","1","28.0","00:10:10","00:15:19","--","--"
步行,2023-04-07 08:59:01,false,"步行","1.31","84","00:13:31","112","122","122","139","10:18","9:21","0.80","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","23.0","0:00","否","13:30.98","1","26.0","00:13:22","00:13:31","--","--"
步行,2023-04-06 21:30:35,false,"步行","2.89","171","00:33:54","103","133","102","244","11:44","3:49","0.84","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","20.0","0:00","否","33:54.16","1","26.0","00:28:37","00:33:54","--","--"
步行,2023-04-06 17:37:05,false,"步行","0.71","78","00:14:34","105","124","69","152","20:30","4:42","0.70","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","25.0","0:00","否","14:34.38","1","26.0","00:08:41","00:14:34","--","--"
步行,2023-04-06 09:12:42,false,"步行","1.76","160","00:26:53","115","132","86","159","15:16","6:28","0.77","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","22.0","0:00","否","26:52.76","1","24.0","00:18:24","00:26:53","--","--"
步行,2023-04-05 16:49:36,false,"步行","1.05","62","00:14:29","91","112","87","228","13:51","3:42","0.83","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","20.0","0:00","否","14:28.100","1","23.0","00:10:43","00:14:29","--","--"
步行,2023-04-05 08:44:04,false,"步行","2.09","160","00:27:02","112","126","101","148","12:56","7:08","0.76","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","19.0","0:00","否","27:02.16","1","23.0","00:20:58","00:27:02","--","--"
步行,2023-04-04 17:33:14,false,"步行","1.66","133","00:24:31","115","142","90","250","14:47","3:19","0.75","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","23.0","0:00","否","24:31.03","1","28.0","00:15:37","00:24:31","--","--"
步行,2023-04-04 13:03:41,false,"步行","0.60","50","00:11:32","92","118","76","138","19:11","9:07","0.69","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","26.0","0:00","否","11:32.15","1","27.0","00:06:51","00:11:32","--","--"
步行,2023-04-04 12:15:36,false,"步行","0.82","83","00:16:38","101","119","73","140","20:22","8:37","0.67","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","22.0","0:00","否","16:38.27","1","25.0","00:09:26","00:16:38","--","--"
