活动类型,日期,我的最爱,标题,距离,热量消耗,时间,平均心率,最大心率,平均踏频,最大踏频,平均配速,最佳配速,平均步长,平均垂直比,平均垂直摆动,平均触地时间,Training Stress Score®,平均功率,最大功率,Grit,Flow,平均 Swolf,平均划桨率,总次数,潜水时长,最低温度,水面休息时间,减压,最佳单圈时间,圈数,最高温度,移动时间,全程用时,最低海拔,最高海拔
步行,2023-03-21 22:47:02,false,"步行","1.42","103","00:19:20","95","110","91","158","13:37","6:55","0.81","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","20.0","0:00","否","19:20.45","1","26.0","00:13:55","00:19:20","--","--"
步行,2023-03-21 07:47:51,false,"步行","1.60","111","00:20:06","102","127","101","250","12:35","3:20","0.79","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","17.0","0:00","否","20:05.58","1","21.0","00:14:17","00:20:06","--","--"
步行,2023-03-20 22:06:21,false,"步行","1.06","72","00:16:44","93","107","83","137","15:51","9:36","0.77","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","15.0","0:00","否","16:43.97","1","20.0","00:12:15","00:16:44","--","--"
步行,2023-03-20 18:13:33,false,"步行","1.05","91","00:20:00","99","119","82","238","19:05","4:15","0.64","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","17.0","0:00","否","20:00.01","1","21.0","00:13:06","00:20:00","--","--"
步行,2023-03-20 15:40:26,false,"步行","0.66","58","00:12:56","100","116","78","240","19:32","5:24","0.66","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","24.0","0:00","否","12:55.52","1","25.0","00:08:04","00:12:56","--","--"
步行,2023-03-19 18:21:27,false,"步行","0.89","62","00:14:37","88","100","78","125","16:31","10:07","0.78","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","14.0","0:00","否","14:37.18","1","15.0","00:09:54","00:14:37","--","--"
步行,2023-03-19 17:38:42,false,"步行","1.44","117","00:23:04","101","114","85","140","16:04","8:50","0.73","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","19.0","0:00","否","23:03.63","1","24.0","00:16:46","00:23:04","--","--"
步行,2023-03-19 11:47:11,false,"步行","1.05","89","00:16:54","103","123","81","155","16:06","7:51","0.77","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","22.0","0:00","否","16:53.91","1","23.0","00:10:04","00:16:54","--","--"
步行,2023-03-19 10:11:41,false,"步行","0.76","70","00:14:02","106","116","79","131","18:30","8:15","0.68","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","22.0","0:00","否","14:01.72","1","24.0","00:09:16","00:14:02","--","--"
步行,2023-03-18 20:47:51,false,"步行","1.09","85","00:15:59","107","123","92","137","14:43","9:21","0.74","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","17.0","0:00","否","15:58.90","1","22.0","00:11:41","00:15:59","--","--"
步行,2023-03-18 15:50:18,false,"步行","1.53","119","00:23:59","109","129","85","165","15:42","9:07","0.75","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","20.0","0:00","否","23:59.07","1","28.0","00:17:30","00:23:59","--","--"
步行,2023-03-18 11:49:18,false,"步行","3.13","200","00:35:34","115","132","113","243","11:21","3:30","0.78","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","18.0","0:00","否","35:33.63","1","28.0","00:32:38","00:35:34","--","--"
步行,2023-03-18 10:28:50,false,"步行","1.54","112","00:20:17","107","114","98","165","13:12","7:33","0.77","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","19.0","0:00","否","20:16.74","1","22.0","00:15:55","00:20:17","--","--"
步行,2023-03-17 22:02:02,false,"步行","1.08","80","00:15:13","107","117","90","152","14:06","8:43","0.79","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","15.0","0:00","否","15:12.77","1","22.0","00:10:32","00:15:13","--","--"
